 \.\.\. and ([,0-9]+) more.	 ... その他$1件
This function lets you do a word- or byte-level comparison between different data. You can load, paste, or send data here from other tools and then select the comparison you want to perform.	異なるデータ間の、単語もしくはバイトレベルの比較を行います。データを読み込み、貼り付け、他のツールからここに送信し、実行したい比較を選択してください。
This function sends common test payloads to random URLs and parameters at irregular intervals, to generate traffic similar to that caused by manual penetration testing. Its only real use is to let you take a break from testing while still looking busy according to the server's logs. Only items which you selected in the site map will be requested.	この機能は、一般的なテストペイロードを不規則な間隔でランダムなURLやパラメータに送信し、手動ペネトレーションテストで発生するようなトラフィックを生成します。この機能の唯一現実的な使用方法は、一生懸命テストをしているようなログをサーバに残しながら休憩を取ることです。サイトマップで選択したアイテムのみリクエストが送信されます。
This is the timeout after which failed DNS lookups are repeated	失敗したDNS名前解決を繰り返すまでのタイムアウトです
This is the timeout after which successful DNS lookups expire	成功したDNS名前解決が期限切れになるまでのタイムアウトです
This item is outside the current spidering scope. Would you like to modify the scope to include the item\\?	このアイテムは、現在の巡回スコープ外です。このアイテムを含むようスコープを修正しますか？
This item is outside the current target scope. Are you sure you want to perform an active scan\\?	このアイテムは現在の対象スコープ外です。アクティブスキャンを実行してよろしいですか？
This listing contains the definitions of all issues that can be detected by Burp Scanner.	Burp Scannerが検出できる全問題の定義一覧です。
This macro is being used by a session handling rule and cannot be deleted.	このマクロはセッションハンドリングルールで使用されているため削除できません。
This panel shows a list of the unique SSL certificates received from web servers. Double-click an item to show the full details of the certificate.	このパネルにはWebサーバから受信した一意なSSL証明書が表示されます。証明書の詳細を見るにはアイテムをダブルクリックしてください。
This payload type can be used to generate illegal Unicode representations of characters. It is sometimes effective in bypassing filters designed to block certain characters. See the full help for details of each option.	文字の不正なUnicode表現を生成します。特定の文字をブロックするよう設計されたフィルタの回避に効果がある場合があります。各オプションの詳細はヘルプを参照してください。
This payload type can be used to shuffle blocks of ciphertext in ECB-encrypted data, so as to meaningfully modify the decrypted cleartext and potentially interfere with application logic. You can optionally supply a list of encrypted strings that use the same cipher and key, to provide additional blocks for shuffling into the original data.	ECB暗号化データの暗号文をシャッフルするペイロードで、復号さた平文で意味のある変更やアプリケーションロジックの潜在的な妨害に使用できます。必要に応じて、同じ暗号およびキーを使用して暗号化された文字列のリストを指定し、元データにシャッフルの追加ブロックとして使用できます。
This payload type copies the value of the current payload at another payload position. It can be used with attack types that have multiple payload sets.	他のペイロードポジションの値をこのペイロードにコピーします。複数のペイロードセットを使用する攻撃タイプで使用できます。
This payload type generates date payloads within a given range and in a specified format.	指定された範囲内の日付ペイロードを指定された形式で生成します。
This payload type generates numeric payloads within a given range and in a specified format.	指定された範囲の指定されたフォーマットで数値のペイロードを生成します。
This payload type generates payloads based on blocks of a specified character or string. It can be useful for detecting buffer overflows and exploiting some logic flaws.	指定した文字や文字列のブロックを元にペイロードを生成します。バッファオーバフローの検知やロジックフローの攻撃に有用です。
This payload type generates payloads of specified lengths that contain all permutations of a specified character set.	指定した文字セット・長さから、すべての組み合わせのペイロードを生成します。
This payload type generates payloads whose value is an empty string. With no payload markers configured, this can be used to repeatedly issue the base request unmodified.	空文字列のペイロードを生成します。ペイロードマーカの設定は不要で、ベースリクエストを変更せず繰り返し送信できます。
This payload type invokes a Burp extension to generate payloads.	ペイロードの作成にBurp拡張を実行します。
This payload type lets you configure a file from which to read payload strings at runtime.	実行時にペイロード文字列を読み込むファイルを設定します。
This payload type lets you configure a list of names or email addresses, and derives potential usernames from these using various common schemes. You can enter items as "firstname lastname" or "firstname.lastname@example.org".	名前やメールアドレスのリストを設定し、様々な一般的な生成規則で潜在的なユーザ名を生成します。"名 姓" または "名.姓@example.org" でアイテムを入力できます。
This payload type lets you configure a list of strings and apply various case modifications to each item.	文字列のリストを設定し、各アイテムに様々な大文字小文字変換を適用します。
This payload type lets you configure a list of strings and apply various character substitutions to each item.	文字列のリストを設定し、各アイテムに様々な文字置換を適用します。
This payload type lets you configure a simple list of strings that are used as payloads.	ペイロードに使用する文字列の単純なリストを設定します。
This payload type lets you configure multiple lists of items, and generate payloads using all permutations of items in the lists.	複数のアイテムリストを設定し、リスト内の項目すべての組み合わせのペイロードを生成します。
This payload type lets you extract each payload from the response to the previous request in the attack. It is useful in some situations where you need to work recursively to extract useful data or deliver an exploit. Extract grep items can be defined in the Options tab.	前の攻撃リクエストに対するレスポンスから、ペイロードを抽出します。有用なデータの抽出や攻撃データの送信を再帰的に行いたい場合に有用です。抽出grepアイテムは、"オプション"タブで定義できます。
This payload type operates on a string input and modifies the value of each character position in turn. It is useful to quickly test which parts of a long string have an effect on the application's processing.	入力文字列を操作し、各位置の文字を順番に変更します。長い文字列のどの部分がアプリケーションの処理に影響を与えるをすばやくテストするために便利です。
This payload type operates on an input and modifies the value of each bit position in turn. It can sometimes be used to meaningfully modify the decrypted values of CBC-encrypted data, and potentially interfere with application logic.	入力文字列を操作し、各位置のビットを順番に変更します。CBC暗号化されたデータに意味のある変更を行う場合や、アプリケーションロジックの潜在的な妨害に使用できる場合があります。
This project file was created by a different installation of Burp. You need to decide whether to take full ownership of the project.	このプロジェクトファイルは他のBurpで作成されました。プロジェクトの完全な所有権を選択するか決定する必要があります。
This setting can be used to URL-encode selected characters within the final payload, for safe transmission within HTTP requests.	HTTPリクエストを安全に送信するために、最終的なペイロードの指定した文字をURLエンコードする設定です。
This setting controls how Burp handles extensions on startup.	Burp起動時の拡張の処理方法を制御します。
This setting controls the state of proxy interception at startup.	起動時のプロキシインターセプト状態の設定です。
This setting controls whether adding items to Target scope will automatically set the Proxy option to stop sending out-of-scope items to the history or other Burp tools.	ターゲットスコープへアイテムを追加したときに、履歴や他のBurpツールにスコープ外アイテムを送信しないようProxyオプションを自動的に追加するかどうか設定します。
This test analyzes the distribution of characters used at each position within the token. If the sample is randomly generated, the distribution of characters employed is likely to be approximately uniform. At each position, the test computes the probability of the observed distribution arising if the tokens are random. The significance level at each position is the probability of the observed distribution of characters occurring, assuming that the sample is randomly generated.	テストでは、トークン内の各位置で使用される文字の分布を分析します。サンプルがランダムに生成されていれば、文字の分布はほぼ均一になる可能性が高いです。このテストは各位置で、トークンがランダムであると仮定した場合に、観測された分布の確率を計算します。サンプルがランダムに生成されたと仮定した場合、各位置の有意水準は、発生が観察された文字分布の確率です。
This test analyzes the distribution of ones and zeroes at each bit position. If the sample is randomly generated, the number of ones and zeroes is likely to be approximately equal. At each position, the test computes the probability of the observed distribution arising if the tokens are random. The significance level at each position is the probability of the observed number of ones and zeroes occurring, assuming that the sample is randomly generated.	このテストでは、各ビット位置の0と1の分布を分析します。サンプルがランダムに生成されていれば、0と1の数はほぼ等しくなる可能性が高いです。このテストは各位置で、トークンがランダムであると仮定した場合に、観測された分布の確率を計算します。サンプルがランダムに生成されたと仮定した場合、各位置の有意水準は、0と1の発生が観察された数の確率です。
This test analyzes the relationships between bits at different positions within the token. If the sample is randomly generated, a value at a given bit position is equally likely to be accompanied by a one or a zero at any other bit position. At each position, the test computes the probability of the relationships observed with bits at other positions arising if the tokens are random. To prevent arbitrary results, when a degree of correlation is observed between two bits, the test adjusts the significance level of the bit whose significance level is lower based on all of the other bit-level tests.	このテストでは、トークン内の異なる位置のビット間の関係を分析します。サンプルがランダムに生成されている場合、特定ビットの値は、他のビット位置が0または1になる確率とおおむね等しくなる可能性が高いです。テストは各位置で、トークンがランダムな場合に生じる観測した他の位置のビットの確率を計算します。任意の結果を防ぐために、2ビットの間で相関度が観察された場合、その有意水準より低い他のビット・レベルのテストのすべてに基づいてビットの有意水準を調整します。
This test analyzes the transitions between successive tokens in the sample. If the sample is randomly generated, a character appearing at a given position is equally likely to be followed in the next token by any one of the characters that is used at that position. At each position, the test computes the probability of the observed transitions arising if the tokens are random. The significance level at each position is the probability of the observed transitions occurring, assuming that the sample is randomly generated.	このテストでは、サンプル内の連続したトークン間の遷移を分析します。サンプルがランダムに生成されている場合、所定の位置に表示された文字は、続くトークンのその場所で使用される文字はどれも同じような可能性になるはずです。このテストは各位置で、トークンがランダムであると仮定した場合に、観測された遷移の確率を計算します。サンプルがランダムに生成されたと仮定した場合、各位置の有意水準は、発生が観察された遷移の確率です。
This test attempts to compress the bit sequence at each position using standard ZLIB compression. The results indicate the proportional reduction in the size of the bit sequence when it was compressed. A higher degree of compression indicates that the data is less likely to be randomly generated.	このテストは、標準的な ZLIB 圧縮を使用して各位置でビット列を圧縮しようとします。この結果は、圧縮されたときビット列のサイズが比例減少することを示します。高い圧縮率は、データがランダムに生成されていないこと示しています。
This test divides the bit sequence at each position into consecutive, non-overlapping groups of four, and derives a four-bit number from each group. It then counts the number of occurrences of each of the 16 possible numbers, and performs a chi-square calculation to evaluate this distribution. If the sample is randomly generated, the distribution of four-bit numbers is likely to be approximately uniform. At each position, the test computes the probability of the observed distribution arising if the tokens are random. The significance level at each position is the probability of the observed distribution occurring, assuming that the sample is randomly generated.	このテストは各位置のビット列を、連続する4つの非重複グループに分割し、各グループから4ビットの値を導出します。可能性のある16の数値の出現回数を数え、カイ二乗計算を行ってこの分布を評価します。サンプルがランダムに生成されていた場合、4ビット数値の分布はおおよそ均一になる可能性が高いです。テストは各位置で、トークンがランダムな場合に生じる観測分布の確率を計算します。サンプルがランダムと仮定した場合、各位置の有意水準は、観察された分布が発生する確率です。
This test divides the bit sequence at each position into runs of consecutive bits which have the same value. It then counts the number of runs with a length of 1, 2, 3, 4, 5, and 6 and above. If the sample is randomly generated, the number of runs with each of these lengths is likely to be within a range determined by the size of the sample set. At each position, the test computes the probability of the observed runs occurring if the tokens are random. The significance level at each position is the probability of the observed runs occurring, assuming that the sample is randomly generated.	このテストは各位置のビット列を、同じ値を持つ連続したビットの連に分割します。そして長さが1, 2, 3, 4, 5, 6, それ以上の連の数を数えます。サンプルがランダムに生成されている場合、これらの各長さの連の数は、おおむねサンプルセットのサイズで決定される範囲に入る可能性が高いです。テストは各位置で、トークンがランダムな場合に発生する観測した連の確率を計算します。サンプルがランダムと仮定した場合、各位置の有意水準は、観察された連が発生する確率です。
This test measures the longest run of bits with the same value at each bit position. If the sample is randomly generated, the longest run is likely to be within a range determined by the size of the sample set. At each position, the test computes the probability of the observed longest run arising if the tokens are random. The significance level at each position is the probability of the observed longest run occurring, assuming that the sample is randomly generated.	このテストは各ビット位置で、同じ値を持つビットの最長連を計測します。サンプルがランダムに生成されている場合、最長連は、おおむねサンプルセットのサイズで決定される範囲に入る可能性が高いです。テストは各位置で、トークンがランダムな場合に生じる観測した最長連の確率を計算します。サンプルがランダムと仮定した場合、各位置の有意水準は、観察された最長連が発生する確率です。
This test performs a sophisticated analysis of the bit sequence at each position, and is capable of identifying evidence of non-randomness in some samples which pass the other statistical tests. The test works through the bit sequence and treats each series of consecutive numbers as coordinates in a multi-dimensional space. It plots a point in this space at each location determined by these co-ordinates. If the sample is randomly generated, the distribution of points within this space is likely to be approximately uniform; the appearance of clusters within the space indicates that the data is likely to be non-random. At each position, the test computes the probability of the observed distribution occurring if the tokens are random. The test is repeated for multiple sizes of number \\(between 1 and 8 bits\\) and for multiple numbers of dimensions \\(between 2 and 6\\). The significance level at each position is the probability of the observed results occurring, assuming that the sample is randomly generated.	このテストは、各位置のビットシーケンスの高度な解析を実行し、他の統計テストに合格した一部のサンプルの、非ランダム性の証拠を発見できます。テストはビット列を通して動作し、各連続した番号の連続を多次元空間の座標として扱います。これらの座標によって決定された場所ごとに、空間内の点をプロットします。サンプルがランダムに生成されていた場合、この空間内の点の分布がはおおよそ均一になる可能性が高いです; 空間内のクラスターの出現は、データがランダムではない可能性が高いことを示しています。テストは各位置で、トークンがランダムな場合に発生する観測分布の確率を計算します。テストは複数サイズの数(1から8ビット)と、複数の次元(2から6)で繰り返されます。サンプルがランダムと仮定した場合、各位置の有意水準は、観察された結果が発生する確率です。
This URL is outside the current target scope. Are you sure you want to discover content\\?	このURLは現在の対象スコープ外です。コンテンツ探索をしてよろしいですか？
This URL is outside the current target scope. Are you sure you want to schedule an active scan\\?	このURLは現在の対象スコープ外です。アクティブスキャンをスケジュールしてよろしいですか？
This version of Burp requires a license key. To continue, please paste your license key below, or load it from file.	このバージョンのBurpはライセンスキーが必要です。継続するには、以下にライセンスキーを貼り付けるか、ファイルから読み込んでください。
This will clear all existing custom iterator settings	既存のすべてのカスタムイテレータをクリアします
This will close all Burp projects and shutdown - are you sure you want to exit\\?	すべてのBurpプロジェクトを閉じシャットダウンします - 終了してよろしいですか？
This will close all Burp windows - are you sure you want to exit\\?	Burpのすべてのウィンドウを閉じます - 終了してよろしいですか？
This will enable other network users to use the proxy and view the proxy history.	他のネットワークユーザがプロキシを利用し、プロキシの履歴を閲覧できるようになります。
This will exit the current attack	現在の攻撃を終了します
This wizard lets you remove certain information which Burp saves on your computer. Choose which items you would like to remove.	このウィザードで、Burpがコンピュータに保存した特定の情報を削除します。削除したいアイテムを選択してください。
Thorough	徹底的
Throttle \\(milliseconds\\):	ウェイト(ミリ秒):
Throttle between requests \\(milliseconds\\):	リクエスト間のウェイト(ミリ秒):
Time of day	時刻
Time requested	リクエスト時刻
Time running:	起動時間:
Time	時刻
Time-delay checks	遅延チェック
Timeouts?	タイムアウト
Title	タイトル
To change an action's hotkey, select it in the table and type the hotkey for that action. To clear an existing hotkey, press delete or escape. All hotkeys must use the Control key, and may also use Shift or other available modifiers. Note that on some Windows installations the Control\\+Alt combination is treated by the OS as equivalent to AltGr, and so may result in typed characters appearing when pressed in text fields.	アクションのホットキーを変更するには、テーブルから選択してそのアクションのホットキーを入力します。既存のホットキーをクリアするには、DeleteキーかEscキーを押します。すべてのホットキーはコントロールキーを使用する必要があり、シフトやその他の修飾キーも使用できます。一部のWindowsインストールでは、Ctrl+Altの組み合わせはAltGrと同等として扱われるので、テキストフィールドに入力した文字が現れる可能性がある点に注意してください。 
To enable bit-level analysis, each token was converted into a set of ([,0-9]+) bits.(.*)	ビットレベルの解析を有効にするために、各トークンは$1ビットのセットに変換されました。グラフでは、各文字位置が貢献したビット数を示しています。$2
To help us improve Burp, please report this bug and include the details below.	Burpを改善するため、次の詳細を含むこのバグを報告してください。
To load this file, create a new Burp project, and then restore the state file in the normal way, via the Burp menu.	このファイルを読み込むには、新規Burpプロジェクトを作成し、Burpメニューから通常通りステートファイルをリストアしてください。
To lower case	小文字に変換
To monitor or troubleshoot the behavior of your session handling rules, you can use the sessions tracer to view in detail the results of processing each rule.	セッションハンドリングルールの動作の監視やトラブルシュートを行うには、セッショントレーサを使用して各ルールの処理結果の詳細が表示できます。
To new tab	新規タブへ
To Propername	先頭のみ大文字でその他は小文字
To ProperName	先頭のみ大文字でその他は変更なし
To repeat this request in your browser, copy the URL below and paste into a browser that is configured to use Burp as its proxy.	このリクエストをブラウザで再送するには、Burpをプロキシとして使用するよう設定されたブラウザに、次のURLをコピーして貼り付けてください。
To run Python extensions, you must download the Jython standalone JAR, and configure its location in Burp Extender options.	Python拡張を実行するには、JythonスタンドアローンJARファイルをダウンロードし、Burp Extenderオプションで場所を設定する必要があります。
To run Ruby extensions, you must download the JRuby JAR file, and either configure its location in Burp Extender options, or load it on startup via the Java classpath.	Ruby拡張を実行するには、JRubyのJARファイルをダウンロードし、Burp Extenderオプションで場所を設定するか、起動時のJavaクラスパス経由で読み込む必要があります。
To show this response in your browser, copy the URL below and paste into a browser that is configured to use Burp as its proxy.	このレスポンスをブラウザで表示するには、Burpをプロキシとして使用するよう設定されたブラウザに、次のURLをコピーして貼り付けてください。
To tab ([0-9]+)	タブ$1へ
To take effect, you will need to restart Burp, and then install the new certificate in your browser.	有効にするには、Burpを再起動し、ブラウザに新しい証明書をインストールする必要があります。
To this host	このホスト宛
To this IP address	このIPアドレス宛
To upper case	大文字に変換
To use (.*) extensions, you need to download (.*), and configure its location in Burp Extender options.	$1拡張を使うには、$2をダウンロードし、Burp Extenderのオプションでその場所を設定してください。
Toggle message interception	メッセージのインターセプトを反転
Token Analysis	トークン解析
Token Handling	トークンハンドリング
Token length: ([0-9]+).	トークン長: $1
Token Location Within Response	レスポンス中のトークン位置
Tokens loaded:	読み込んだトークン:
Tolerate URL mismatch when matching parameters \\(use for URL-agnostic CRSF tokens\\)	パラメータマッチ時にURLの不一致を許容する(URLに依存しないCSRFトークンに使用)
too few ones at bit ([0-9]+) \\(count: ([0-9]+), probability in a random sample: ([0-9.]+)%\\)	ビット$1に1が少なすぎます (回数: $2, ランダムサンプル中の確率: $3%)
too few ones at bit ([0-9]+) \\(count: ([0-9]+), probability in a random sample: less than 0.0001%\\)	ビット$1に1が少なすぎます (回数: $2, ランダムサンプル中の確率: 0.0001%未満)
too many ones at bit ([0-9]+) \\(count: ([0-9]+), probability in a random sample: ([0-9.]+)%\\)	ビット$1に1が多すぎます (回数: $2, ランダムサンプル中の確率: $3%)
too many ones at bit ([0-9]+) \\(count: ([0-9]+), probability in a random sample: less than 0.0001%\\)	ビット$1に1が多すぎます (回数: $2, ランダムサンプル中の確率: 0.0001%未満)
Tool	ツール
Tools Scope	ツールスコープ
Tools	ツール
Top/bottom split	上下分割
Total cost:	総額:
Total encodings	総エンコード数
Total number of parameters:	パラメータの総数:
transition from (.) to (.) is too common at position ([0-9]+) \\(count: ([0-9]+), probability in a random sample: ([0-9.]+)%\\)	文字位置$3で $1 から $2への遷移が起こりすぎです (回数: $4, ランダムサンプル中の確率: $5%)
transition from (.) to (.) is too common at position ([0-9]+) \\(count: ([0-9]+), probability in a random sample: less than 0.0001%\\)	文字位置$3で $1 から $2への遷移が起こりすぎです (回数: $4, ランダムサンプル中の確率: 0.0001%未満)
transition from (.) to (.) is too rare at position ([0-9]+) \\(count: ([0-9]+), probability in a random sample: ([0-9.]+)%\\)	文字位置$3で $1 から $2への遷移が起こらなすぎです (回数: $4, ランダムサンプル中の確率: $5%)
transition from (.) to (.) is too rare at position ([0-9]+) \\(count: ([0-9]+), probability in a random sample: less than 0.0001%\\)	文字位置$3で $1 から $2への遷移が起こらなすぎです (回数: $4, ランダムサンプル中の確率: 0.0001%未満)
Transitions	遷移
Try to decode automatically	自動デコードを試行
Two-digit hex	2桁16進数
Type a search term	検索語を入力
Type character to insert \\(ASCII or hex code\\)	挿入する文字を入力してください (ASCIIまたは16進数コード)
Type index	タイプインデックス
Type string to insert	挿入する文字列を入力してください
Type(:?)	タイプ$1
Typical severity	一般的な危険度
Unable to load library - check file is correct and device is installed	ライブラリを読み込めません - ファイルが正しいか、デバイスがインストールされているかチェックしてください
Unauthorized Response	未認可のレスポンス
Uncheck all	すべて解除
Understand 100 Continue responses	100 Continueレスポンスを認識する
Unencrypted communications(\\s+\\[[0-9]+\\])?	暗号化されていない通信$1
Unhide hidden form fields	Hiddenフォームフィールドを強制表示する
Unidentified code injection(\\s+\\[[0-9]+\\])?	不明なコードインジェクション$1
unknown	不明
Unpack gzip / deflate in requests	リクエストのgzip/deflateを展開する
Unpack gzip / deflate in responses	レスポンスのgzip/deflateを展開する
Unpack gzip / deflate	gzip/deflateを展開する
Up	上へ
Update all cookies except for:	これ以外すべてのcookieを更新する:
Update all parameters except for:	これ以外すべてのパラメータを更新する:
Update config based on selection below	以下の選択を元に設定を更新
Update Content-Length header	Content-Lengthヘッダを更新
Update Content-Length	Content-Lengthを更新
Update current request with cookies from session handling cookie jar	セッションハンドリングcookie jarのcookieでリクエストを更新する
Update current request with parameters matched from final macro response	マクロの最後のレスポンスのマッチしたパラメータでリクエストを更新する
Update current	現状を更新
Update license key	ライセンスキー更新
Update macro	マクロ更新
Update now	更新開始
Update only the following cookies:	このcookieのみ更新する:
Update only the following parameters:	このパラメータのみ更新する:
Update the first macro request with parameters matched from the response to the current request	最初のマクロリクエストのマッチしたパラメータを、現在のリクエストのレスポンスで更新する
Update the original macro configuration with the requests and responses made in this test	元のマクロ設定を、このテストで生成したリクエストとレスポンスに更新する
Update was saved successfully.	更新を正常に保存しました。
Updating results	結果更新中
Upstream Proxy Servers	上位プロキシサーバ
URL of redirection target	リダイレクト対象のURL
URL parameter values	URLのパラメータ値
URL parameter( .+)?	URLパラメータ$1
URL path filename	URLパスのファイル名
URL path folders?	URLパスのフォルダ
URL Scope	URLスコープ
URL to body	URLからボディ
URL to cookie	URLからcookie
URL-decode	URLデコード
URL-encode all characters( \\(Unicode\\))?	すべての文字をURLエンコード$1
URL-encode as you type	入力をURLエンコード
URL-encode key characters	特殊文字をURLエンコード
URL-encode these characters:	これらの文字をURLエンコードする:
URL-encoded form	URLエンコードフォーム
Usable Bits of Entropy	使用可能なエントロピービット
Use a custom certificate \\(PKCS#12\\):	カスタム証明書を使用する(PKCS#12):
Use a private Collaborator server:	プライベートCollaboratorサーバを使用する:
Use a self-signed certificate	自己署名の証明書を使用する
Use a specific character set:	指定した文字セットを使用する:
Use built-in lists	組み込みリストを使用する
Use Burp defaults	Burpのデフォルトを使用する
Use cookies from Burp's cookie jar	Burpのcookie jarのcookieを使用する
Use cookies from the session handling cookie jar in requests	セッションハンドリングcookie jarのcookieをリクエストに使用する
Use cookies from the session handling cookie jar	セッションハンドリングcookie jarのcookieを使用する
Use cookies	cookie使用
Use custom location:	指定した場所を使用する:
Use custom protocols and ciphers	カスタムプロトコルと暗号を使用する
Use custom scope	カスタムスコープを使用する
Use default attack configuration	デフォルトの攻撃設定を使用する
Use default system temp directory	システムのデフォルト一時ディレクトリを使用する
Use denial-of-service mode \\(no results\\)	サービス拒否モードを使用する(結果なし)
Use font smoothing	フォントスムージングを使用する
Use HTTP version 1.1	HTTPバージョン1.1を使用する
Use HTTP/1.0 in requests to server	サーバへのリクエストにHTTP/1.0を使用する
Use HTTP/1.0 in responses to client	クライアントへのレスポンスにHTTP/1.0を使用する
Use HTTPS	HTTPSを使用する
Use intelligent attack selection	賢い攻撃の選択を使用する
Use lower case alpha characters	英小文字使用
Use nested insertion points	ネストした挿入ポイントを使用する
Use options saved with project	プロジェクトに保存されたオプションを使う
Use proxy server to connect	接続にプロキシサーバを使用する
Use Referer header	Refererヘッダを使用する
Use SOCKS proxy	SOCKSプロキシを使用する
Use suite scope \\[defined in Target tab\\]	全体のスコープを使用する[Targetタブで定義]
Use the configuration below to control which URLs this rule applies to.	ルールを適用するURLを設定します。
Use the configuration below to define the items that are included in the macro, and the order they will be issued. You can configure how parameters and cookies are handled for each item. You can also test the macro to confirm it is working correctly.	次の設定を使用して、マクロに含めるアイテムと、発行される順番の定義します。各アイテムでのパラメータやcookieの処理方法が設定できます。マクロをテストし、正しく動作するか確認もできます。
Use the default Collaborator server	デフォルトのCollaboratorサーバを使用する
Use the default protocols and ciphers of your Java installation	Javaインストールのデフォルトプロトコルと暗号を使用する
Use the platform default \\((.*)\\)	プラットフォームのデフォルト($1)を使用する
Use the platform default	プラットフォームのデフォルトを使用する
Use these settings to control which requests are stalled for viewing and editing in the Intercept tab.	インターセプトタブで止めて、表示や編集をするリクエストを制御します。
Use these settings to control which responses are stalled for viewing and editing in the Intercept tab.	インターセプトタブで止めて、表示や編集をするレスポンスを制御します。
Use these settings to control which WebSockets messages are stalled for viewing and editing in the Intercept tab.	インターセプトタブで止めて、表示や編集をするWebSocketメッセージを制御します。
Use these settings to monitor and control Burp Spider. To begin spidering, browse to the target application, then right-click one or more nodes in the target site map, and choose "Spider this host / branch".	Burp Spiderの監視と制御を行います。巡回を開始するには、対象アプリケーションをブラウズし、サイトマップで対象の一つまたは複数のノードを右クリックし、"このホスト/ブランチをSpider実行"を選択してください。
Use these settings to monitor and control the discovery session.	探索セッションの監視と制御を行います。
Use this function to test the macro and determine whether it is working as required.	この機能を使用してマクロをテストし、要求通りに動作しているかどうか確認します。
User agent-dependent response(\\s+\\[[0-9]+\\])?	ユーザエージェントに依存したレスポンス$1
User agents	ユーザエージェント
User Interface	ユーザインタフェース
User options	ユーザオプション
Username generator	ユーザ名ジェネレータ
Username(:?)	ユーザ名$1
Usernames	ユーザ名
Using Burp Suite	Burp Suiteの使い方
Valid session	セッション有効
Validate session only every	セッションを
Value \\[(.*)\\]	値 [$1]
Value derived from	派生した値
Value(:?)	値$1
Variable:  start	変動:  初期
Version:	バージョン:
View release notes	リリースノートを表示する
View	表示
Vulnerability classifications \\[where applicable\\]	脆弱性の分類 [該当する場合]
Waiting to pause	一時停止しています
Waiting	待機中
Warning	注意
Warning: This tracer imposes a processing and storage overhead, and should only be used when troubleshooting issues with session handling rules.	警告:　このトレーサは処理とストレージに負荷をかけるので、セッションハンドリングルールのトラブルシューティングのみに使用すべきです。 
Was annotated	注釈付き
Was intercepted	インターセプトされた
Was modified	変更された
Was not annotated	注釈なし
Was not intercepted	インターセプトされなかった
Was not modified	変更されなかった
WebSocket hijacking \\(DOM-based\\)(\\s+\\[[0-9]+\\])?	WebSocketハイジャック(DOMベース)$1
WebSocket hijacking \\(reflected DOM-based\\)(\\s+\\[[0-9]+\\])?	WebSocketハイジャック (反射型DOMベース)$1
WebSocket hijacking \\(stored DOM-based\\)(\\s+\\[[0-9]+\\])?	WebSocketハイジャック (蓄積型DOMベース)$1
WebSockets history	WebSocket履歴
Weeks	週
Welcome ...	ようこそ ...
Welcome to Burp Suite Free Edition. Use the options below to create or open a project.	Burp Suiteフリー版へようこそ。次のオプションでプロジェクトを作成するか開くか選択してください。
Welcome to Burp Suite Professional. Use the options below to create or open a project.	Burp Suiteプロフェッショナル版へようこそ。次のオプションでプロジェクトを作成するか開くか選択してください。
When following redirections, understand the following types:	リンクをたどる場合、次のタイプを認識します:
When items are added to Target scope:	アイテムがターゲットスコープに追加されたとき:
When you click "next", Burp will remove the specified items and then exit.	"次へ"をクリックすると、指定したアイテムを削除し終了します。
Windows Classic	Windowsクラシック
Windows installer \\((32|64)-bit\\)	Windowsインストーラ ($1ビット)
With payload positions	ペイロードポジションを含む
With this content type	このコンテントタイプ
With this response code	このレスポンスコード
Without payload positions	ペイロードポジションを含まない
Word compare of #([0-9]+) and #([0-9]+)  \\(([0-9]+) differences\\)	#$1と#$2の単語比較  ($3カ所の相違)
Word compare	単語比較
Words	単語
X509 certificate for (.*)	$1のX509証明書
X-Forwarded-For dependent response(\\s+\\[[0-9]+\\])?	X-Forwarded-Forに依存したレスポンス$1
XML / SOAP injection	XML/SOAPインジェクション
XML entity expansion(\\s+\\[[0-9]+\\])?	XMLエンティティの展開$1
XML external entity injection(\\s+\\[[0-9]+\\])?	XML外部エンティティインジェクション$1
XML injection(\\s+\\[[0-9]+\\])?	XMLインジェクション$1
XPath injection(\\s+\\[[0-9]+\\])?	XPathインジェクション$1
Years	年
Yes	はい
You are editing the live config for a running attack. You should proceed with caution and consider pausing the attack while you make changes	攻撃実行中のライブ設定を編集しようとしています。注意深く行い、変更中は攻撃を一時停止する検討を推奨します。
You can define one or more payload sets. The number of payload sets depends on the attack type defined in the Positions tab. Various payload types are available for each payload set, and each payload type can be customized in different ways.	1つまたは複数のペイロードセットを定義できます。ペイロードセットの数は、"ポジション"タブで定義された攻撃タイプに依存します。ペイロードセットごとに様々なペイロードタイプが使用可能で、各ペイロードタイプは様々な方法でカスタマイズできます。
You can define rules to perform various processing tasks on each payload before it is used.	ペイロードが使われる前に各ペイロードのに様々な処理タスクを実行するルールを定義できます。
You can define session handling rules to make Burp perform specific actions when making HTTP requests. Each rule has a defined scope \\(for particular tools, URLs or parameters\\), and can perform actions such as adding session cookies, logging in to the application, or checking session validity. Before each request is issued, Burp applies in sequence each of the rules that are in-scope for the request.	HTTPリクエストを生成するときに指定したアクションを実行させるセッションハンドリングルールを定義します。各ルールには、スコープ(特定のツール、URL、パラメータ)、セッションcookieを追加するなどアクションの実行、アプリケーションへのログインやセッションの有効性のチェックなどを定義します。各リクエストを発行する前に、スコープ内のリクエストに対して各ルールを順番に適用します。
